date,generation_kwh,consumption_kwh,grid_feed_in_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh
2026-02-01,0.644,6.366083333333333,0.0095,0.006583333333333333,0.09066666666666666,6.213916666666666
2026-02-02,23.84658333333333,23.46033333333333,0.09258333333333334,0.028249999999999997,14.10475,14.324166666666667
2026-02-03,26.952416666666664,23.0715,0.11499999999999999,0.074,16.495916666666666,13.07025
2026-02-04,25.965999999999998,25.731916666666667,0.05325,0.030333333333333334,14.770833333333332,15.051416666666666
2026-02-05,27.200416666666666,23.586666666666666,0.09791666666666667,0.030083333333333333,16.66825,13.44425
2026-02-06,21.918833333333332,20.234166666666667,0.011,0.00925,13.99925,12.61575
2026-02-07,22.46875,20.54475,0.026083333333333333,0.004166666666666667,15.313916666666666,13.621583333333334
2026-02-08,22.809083333333334,19.40325,0.038,0.04108333333333333,16.051333333333332,12.807833333333333
2026-02-09,21.935916666666667,17.78475,0.048916666666666664,0.04933333333333333,15.364583333333332,11.188416666666667
2026-02-10,19.858999999999998,19.70825,0.09025,0.03866666666666667,12.80175,12.860999999999999
2026-02-11,24.300416666666667,22.170916666666667,0.04958333333333333,0.015916666666666666,14.546833333333334,12.613333333333333
2026-02-12,21.36375,18.188666666666666,0.025249999999999998,0.007666666666666666,14.191333333333333,11.07875
2026-02-13,20.496916666666667,16.523416666666666,0.026583333333333334,0.01675,12.369166666666667,8.368166666666667
2026-02-14,16.381833333333333,17.036833333333334,0.05325,0.050749999999999997,10.219916666666666,10.926916666666667
2026-02-15,22.81975,25.135749999999998,0.06491666666666666,0.022083333333333333,12.796083333333334,15.752166666666666
2026-02-16,28.602999999999998,26.407166666666665,0.08266666666666667,0.049499999999999995,17.60925,15.893666666666666
2026-02-17,28.801916666666667,25.442166666666665,0.08933333333333333,0.017916666666666668,17.905583333333333,14.963166666666666
2026-02-18,28.052166666666665,24.580166666666667,0.09799999999999999,0.04433333333333333,17.181833333333334,14.014833333333334
2026-02-19,25.39183333333333,23.56675,0.1235,0.04408333333333333,15.530916666666666,13.976333333333333
2026-02-20,27.298333333333332,23.967583333333334,0.06666666666666667,0.016,15.78525,12.681666666666667
2026-02-21,24.939666666666668,24.602333333333334,0.06783333333333333,0.01825,13.921999999999999,13.919416666666667
2026-02-22,27.896083333333333,26.505499999999998,0.10483333333333333,0.04883333333333333,14.986916666666666,13.972249999999999
2026-02-23,27.232083333333332,25.782666666666668,0.07825,0.01375,15.9545,14.973916666666666
2026-02-24,27.913916666666665,24.9905,0.07683333333333334,0.010083333333333333,16.521083333333333,13.83175
2026-02-25,28.285083333333333,28.243583333333333,0.09333333333333332,0.020666666666666667,15.444916666666666,15.912583333333332
2026-02-26,29.905666666666665,27.300083333333333,0.08741666666666667,0.04825,17.58675,15.349
2026-02-27,29.967916666666667,30.814999999999998,0.09874999999999999,1.8813333333333333,17.015916666666666,16.717916666666667
2026-02-28,32.31791666666667,28.718833333333333,0.10141666666666667,0.05608333333333333,18.895833333333332,15.70525
2026-03-01,29.56325,27.221999999999998,0.05516666666666666,0.014666666666666666,17.775166666666667,15.959833333333332
2026-03-02,31.820666666666664,30.196166666666667,0.06083333333333333,0.0485,17.249,16.161416666666668
2026-03-03,33.48,31.725749999999998,0.10558333333333333,0.5295833333333333,18.430666666666667,16.666833333333333
2026-03-04,36.11441666666666,34.836166666666664,0.06458333333333333,1.1934166666666666,18.745166666666666,16.866416666666666
2026-03-05,32.614666666666665,29.20725,0.13358333333333333,0.0165,18.359583333333333,15.426499999999999
2026-03-06,31.560333333333332,31.048333333333332,0.05958333333333333,0.021833333333333333,16.126416666666668,16.272166666666667
2026-03-07,34.1575,32.514583333333334,0.07458333333333333,0.21716666666666665,18.318583333333333,17.05775
2026-03-08,32.305416666666666,32.77883333333333,0.06641666666666667,3.5271666666666666,19.34133333333333,16.8335
2026-03-09,33.1175,29.942333333333334,0.10391666666666666,0.005083333333333333,18.827833333333334,16.022
2026-03-10,29.623166666666666,27.657916666666665,0.13533333333333333,0.04025,18.033416666666668,16.498666666666665
2026-03-11,31.645166666666665,29.76625,0.12725,0.6271666666666667,18.931,16.974833333333333
2026-03-12,33.6085,32.605333333333334,0.10983333333333332,1.48075,18.85333333333333,17.036416666666668
2026-03-13,29.460166666666666,22.749166666666667,0.094,0.03766666666666667,18.211416666666665,11.676499999999999
