date,shortwave_radiation_sum,sunshine_duration,daylight_duration,cloud_cover_mean,temperature_2m_mean,relative_humidity_2m_mean,rain_sum,wind_speed_10m_mean,weather_code
2026-02-01,20.299999237060547,39596.7421875,41521.16796875,85.58333587646484,25.57917022705078,63.604190826416016,0.0,19.997684478759766,3
2026-02-02,21.360000610351562,40360.8828125,41559.68359375,31.79166603088379,25.539581298828125,61.137542724609375,0.0,19.370515823364258,3
2026-02-03,20.670000076293945,40128.1171875,41598.6484375,22.75,24.774999618530273,72.4271011352539,0.20000000298023224,18.443416595458984,51
2026-02-04,20.90999984741211,39399.30859375,41638.01171875,92.54166412353516,25.089584350585938,69.7908706665039,0.0,14.603718757629395,3
2026-02-05,14.670000076293945,25119.896484375,41677.734375,100.0,24.69374656677246,74.52603912353516,8.100000381469727,13.445566177368164,61
2026-02-06,11.850000381469727,21131.375,41717.77734375,97.45833587646484,24.379165649414062,89.01181030273438,9.299999237060547,7.7452497482299805,63
2026-02-07,14.100000381469727,18117.33203125,41758.09765625,99.875,24.15000343322754,85.95343017578125,3.700000047683716,14.24867057800293,53
2026-02-08,15.8100004196167,33977.1640625,41798.640625,88.16666412353516,22.875001907348633,81.4739761352539,0.10000000149011612,24.538389205932617,51
2026-02-09,19.200000762939453,39957.1875,41839.3828125,90.95833587646484,23.78125,79.7837905883789,0.0,19.564695358276367,3
2026-02-10,13.920000076293945,31134.705078125,41880.28515625,98.66666412353516,24.852081298828125,80.38553619384766,2.299999713897705,14.932409286499023,55
2026-02-11,15.670000076293945,31321.81640625,41921.66015625,93.33333587646484,24.822914123535156,80.85099029541016,1.0000001192092896,17.9671688079834,51
2026-02-12,17.030000686645508,34223.95703125,41963.671875,83.29166412353516,25.154165267944336,77.38440704345703,0.0,17.253206253051758,3
2026-02-13,16.479999542236328,36240.53515625,42006.2578125,95.16666412353516,24.674997329711914,88.8382339477539,13.80000114440918,15.130929946899414,65
2026-02-14,17.920000076293945,37226.6171875,42049.3828125,97.625,25.114580154418945,86.8653793334961,1.9000000953674316,15.680126190185547,53
2026-02-15,21.440000534057617,38452.46875,42093.0078125,88.66666412353516,25.747915267944336,84.25064849853516,0.7000000476837158,14.562307357788086,51
2026-02-16,21.079999923706055,40484.3359375,42137.078125,70.75,25.756250381469727,82.09945678710938,0.0,16.924312591552734,3
2026-02-17,22.079999923706055,41758.26953125,42181.55859375,39.875,25.710418701171875,70.7726058959961,0.0,22.290851593017578,3
2026-02-18,21.1200008392334,35602.76171875,42226.41015625,81.625,25.691665649414062,66.44619750976562,0.0,23.73589324951172,3
2026-02-19,17.34000015258789,36304.375,42271.58203125,88.25,25.51249885559082,71.7790756225586,0.0,16.744760513305664,3
2026-02-20,21.8799991607666,41450.3203125,42317.04296875,24.75,25.510414123535156,73.2086181640625,0.10000000149011612,18.713394165039062,51
2026-02-21,23.079999923706055,41940.47265625,42362.7421875,14.666666984558105,25.712495803833008,71.91749572753906,0.0,18.155784606933594,2
2026-02-22,20.670000076293945,41683.39453125,42408.65234375,31.83333396911621,26.054162979125977,69.85774230957031,0.0,18.661869049072266,3
2026-02-23,20.540000915527344,39068.546875,42454.7265625,53.95833206176758,25.7833309173584,81.26026153564453,0.7000000476837158,17.497394561767578,51
2026-02-24,22.59000015258789,41671.94140625,42500.92578125,54.33333206176758,26.34375,75.30799102783203,0.0,18.060998916625977,3
2026-02-25,24.31999969482422,42125.9921875,42547.21484375,5.0,26.006248474121094,72.48793029785156,0.0,15.689910888671875,1
2026-02-26,23.90999984741211,42172.5859375,42593.546875,31.875,26.137502670288086,73.16387176513672,0.0,10.19225788116455,3
